method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
PXPermute,0.939712918660287,0.9376342336516652,0.939712918660287,2,0,0,0,1,1,1,1,0,4
PXPermute,0.95311004784689,0.9511837807777608,0.95311004784689,3,0,0,0,1,1,1,1,0,4
PXPermute,0.9540669856459332,0.9533974280822142,0.9540669856459332,4,0,0,0,1,1,1,1,0,4
PXPermute,0.8995215311004785,0.8967428802735916,0.8995215311004785,5,0,0,0,1,1,1,1,0,4
PXPermute,0.9339712918660288,0.9328379055849996,0.9339712918660288,1,0,0,0,0,1,1,1,0,5
PXPermute,0.939712918660287,0.9380900991842744,0.939712918660287,2,0,0,0,0,1,1,1,0,5
PXPermute,0.9425837320574164,0.9412381172323248,0.9425837320574164,3,0,0,0,0,1,1,1,0,5
PXPermute,0.9454545454545454,0.9440155242143728,0.9454545454545454,4,0,0,0,0,1,1,1,0,5
PXPermute,0.9215311004784688,0.9183514758452423,0.9215311004784688,5,0,0,0,0,1,1,1,0,5
PXPermute,0.9110047846889952,0.9086166100389134,0.9110047846889952,1,0,0,0,0,0,1,1,0,6
PXPermute,0.9043062200956936,0.9011413388831294,0.9043062200956936,2,0,0,0,0,0,1,1,0,6
PXPermute,0.8650717703349283,0.860013336390771,0.8650717703349282,3,0,0,0,0,0,1,1,0,6
PXPermute,0.8535885167464113,0.8497065892604698,0.8535885167464115,4,0,0,0,0,0,1,1,0,6
PXPermute,0.8889952153110049,0.8866744122089609,0.8889952153110048,5,0,0,0,0,0,1,1,0,6
PXPermute,0.8172248803827751,0.8118340995129393,0.8172248803827751,1,0,0,0,0,0,0,1,0,7
PXPermute,0.8669856459330143,0.8641796355856433,0.8669856459330143,2,0,0,0,0,0,0,1,0,7
PXPermute,0.8210526315789475,0.8173427024586216,0.8210526315789474,3,0,0,0,0,0,0,1,0,7
PXPermute,0.8258373205741627,0.8209877509825279,0.8258373205741627,4,0,0,0,0,0,0,1,0,7
PXPermute,0.8746411483253589,0.8722397529587096,0.8746411483253589,5,0,0,0,0,0,0,1,0,7
Occlusion,0.9339712918660288,0.9321291610074596,0.9339712918660288,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9425837320574164,0.941321008489649,0.9425837320574164,2,1,1,1,1,1,1,1,1,0
Occlusion,0.9435406698564592,0.9408019242537048,0.9435406698564592,3,1,1,1,1,1,1,1,1,0
Occlusion,0.9626794258373206,0.9613685041202216,0.9626794258373206,4,1,1,1,1,1,1,1,1,0
Occlusion,0.9473684210526316,0.9456835883703524,0.9473684210526316,5,1,1,1,1,1,1,1,1,0
Occlusion,0.90622009569378,0.9050014359739772,0.90622009569378,1,0,1,1,1,1,1,1,1,1
Occlusion,0.9435406698564592,0.9422161092037044,0.9435406698564592,2,0,1,1,1,1,1,1,1,1
Occlusion,0.9540669856459332,0.9528314870837724,0.9540669856459332,3,0,1,1,1,1,1,1,1,1
Occlusion,0.939712918660287,0.9378126860919718,0.939712918660287,4,0,1,1,1,1,1,1,1,1
Occlusion,0.9425837320574164,0.9407984473485684,0.9425837320574164,5,0,1,1,1,1,1,1,1,1
Occlusion,0.936842105263158,0.9351359546495528,0.936842105263158,1,0,0,1,1,1,1,1,1,2
Occlusion,0.94066985645933,0.9392917892380376,0.94066985645933,2,0,0,1,1,1,1,1,1,2
Occlusion,0.9349282296650716,0.93280958172073,0.9349282296650716,3,0,0,1,1,1,1,1,1,2
Occlusion,0.95311004784689,0.951671766933237,0.95311004784689,4,0,0,1,1,1,1,1,1,2
Occlusion,0.9167464114832536,0.9133373752645432,0.9167464114832536,5,0,0,1,1,1,1,1,1,2
Occlusion,0.8976076555023923,0.8933705137280603,0.8976076555023923,1,0,0,1,0,1,1,1,1,3
Occlusion,0.9119617224880384,0.9098648094610876,0.9119617224880384,2,0,0,1,0,1,1,1,1,3
Occlusion,0.9234449760765552,0.9217737762387356,0.9234449760765552,3,0,0,1,0,1,1,1,1,3
Occlusion,0.9263157894736842,0.9250114615707588,0.9263157894736842,4,0,0,1,0,1,1,1,1,3
Occlusion,0.910047846889952,0.9071260829291652,0.910047846889952,5,0,0,1,0,1,1,1,1,3
Occlusion,0.8909090909090909,0.8885106025998545,0.8909090909090909,1,0,0,0,0,1,1,1,1,4
Occlusion,0.937799043062201,0.9365766993214808,0.937799043062201,2,0,0,0,0,1,1,1,1,4
Occlusion,0.9569377990430622,0.9551905846036104,0.9569377990430622,3,0,0,0,0,1,1,1,1,4
Occlusion,0.9196172248803828,0.9172155529286664,0.9196172248803828,4,0,0,0,0,1,1,1,1,4
Occlusion,0.9416267942583731,0.939259274771888,0.9416267942583731,5,0,0,0,0,1,1,1,1,4
Occlusion,0.861244019138756,0.8532482435533372,0.861244019138756,1,0,0,0,0,1,1,1,0,5
Occlusion,0.936842105263158,0.9352128833844274,0.936842105263158,2,0,0,0,0,1,1,1,0,5
Occlusion,0.9167464114832536,0.9131408735040444,0.9167464114832536,3,0,0,0,0,1,1,1,0,5
Occlusion,0.9052631578947368,0.9029648999840796,0.9052631578947368,4,0,0,0,0,1,1,1,0,5
Occlusion,0.9186602870813396,0.9162265851773828,0.9186602870813396,5,0,0,0,0,1,1,1,0,5
Occlusion,0.8411483253588516,0.8326434367468644,0.8411483253588516,1,0,0,0,0,0,1,1,0,6
Occlusion,0.9129186602870814,0.9101293893038972,0.9129186602870814,2,0,0,0,0,0,1,1,0,6
Occlusion,0.8956937799043062,0.892540132806747,0.8956937799043062,3,0,0,0,0,0,1,1,0,6
Occlusion,0.9033492822966508,0.9006612330356673,0.9033492822966508,4,0,0,0,0,0,1,1,0,6
Occlusion,0.8497607655502393,0.8447928218896121,0.8497607655502393,5,0,0,0,0,0,1,1,0,6
Occlusion,0.7052631578947368,0.6903518766382574,0.7052631578947368,1,0,0,0,0,0,1,0,0,7
Occlusion,0.7119617224880382,0.7114144803500883,0.7119617224880382,2,0,0,0,0,0,1,0,0,7
Occlusion,0.7712918660287081,0.7681445713251489,0.7712918660287081,3,0,0,0,0,0,1,0,0,7
Occlusion,0.6842105263157895,0.6650172088899078,0.6842105263157895,4,0,0,0,0,0,1,0,0,7
Occlusion,0.6832535885167464,0.661364135333661,0.6832535885167464,5,0,0,0,0,0,1,0,0,7
GuidedGradCAM,0.9492822966507176,0.9479719989867976,0.9492822966507176,1,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.9263157894736842,0.9239889003847428,0.9263157894736842,2,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.9043062200956936,0.9011802975351124,0.9043062200956936,3,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.9215311004784688,0.9199957977940624,0.9215311004784688,4,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.9492822966507176,0.9484677174884586,0.9492822966507176,5,1,1,1,1,1,1,1,1,0
GuidedGradCAM,0.9425837320574164,0.9416574565841012,0.9425837320574164,1,1,1,1,1,1,0,1,1,1
GuidedGradCAM,0.9454545454545454,0.9441255687559076,0.9454545454545454,2,1,1,1,1,1,0,1,1,1
GuidedGradCAM,0.9311004784688997,0.9292713353997932,0.9311004784688997,3,1,1,1,1,1,0,1,1,1
GuidedGradCAM,0.9483253588516748,0.9475153196974104,0.9483253588516748,4,1,1,1,1,1,0,1,1,1
GuidedGradCAM,0.9272727272727272,0.9249845607130908,0.9272727272727272,5,1,1,1,1,1,0,1,1,1
GuidedGradCAM,0.938755980861244,0.9374153816285312,0.938755980861244,1,1,1,1,0,1,0,1,1,2
GuidedGradCAM,0.9272727272727272,0.9245667236662326,0.9272727272727272,2,1,1,1,0,1,0,1,1,2
GuidedGradCAM,0.9511961722488038,0.9496287996095508,0.9511961722488038,3,1,1,1,0,1,0,1,1,2
GuidedGradCAM,0.9435406698564592,0.9421092907335132,0.9435406698564592,4,1,1,1,0,1,0,1,1,2
