,5,10,20,30,40,50,100,200,500,1000
0,7,7,7,7,7,7,7,7,7,7
1,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2
3,1,1,1,1,1,1,1,1,1,1
4,3,3,3,3,3,3,3,3,3,3
5,4,4,4,4,4,4,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5
7,6,6,6,6,6,6,6,6,6,6
