method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,num_channels
GuidedGradCAM,0.9699488491048592,0.9188241402957084,0.9699488491048592,5,1,0,0,1,1,0,0,0,0,0,0,0,9
GuidedGradCAM,0.9550831202046036,0.8818354450608319,0.9550831202046036,1,1,0,0,0,1,0,0,0,0,0,0,0,10
GuidedGradCAM,0.9355818414322252,0.8215134977792968,0.9355818414322252,2,1,0,0,0,1,0,0,0,0,0,0,0,10
GuidedGradCAM,0.9585997442455244,0.8945321766185782,0.9585997442455244,3,1,0,0,0,1,0,0,0,0,0,0,0,10
GuidedGradCAM,0.94133631713555,0.8420032382748917,0.94133631713555,4,1,0,0,0,1,0,0,0,0,0,0,0,10
GuidedGradCAM,0.9371803069053708,0.8200667364121974,0.9371803069053708,5,1,0,0,0,1,0,0,0,0,0,0,0,10
GuidedGradCAM,0.9101662404092072,0.7604538158093928,0.9101662404092072,1,0,0,0,0,1,0,0,0,0,0,0,0,11
GuidedGradCAM,0.908727621483376,0.7599163564223662,0.908727621483376,2,0,0,0,0,1,0,0,0,0,0,0,0,11
GuidedGradCAM,0.9432544757033248,0.8528082601131747,0.9432544757033248,3,0,0,0,0,1,0,0,0,0,0,0,0,11
GuidedGradCAM,0.9274296675191817,0.7974455535775674,0.9274296675191817,4,0,0,0,0,1,0,0,0,0,0,0,0,11
GuidedGradCAM,0.9060102301790282,0.7568634263123655,0.9060102301790282,5,0,0,0,0,1,0,0,0,0,0,0,0,11
LRP,0.9910485933503836,0.9763454861565886,0.9910485933503836,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LRP,0.9915281329923272,0.9782743040357532,0.9915281329923272,2,1,1,1,1,1,1,1,1,1,1,1,1,0
LRP,0.990089514066496,0.9752071613875676,0.990089514066496,3,1,1,1,1,1,1,1,1,1,1,1,1,0
LRP,0.9891304347826086,0.9720556730052856,0.9891304347826086,4,1,1,1,1,1,1,1,1,1,1,1,1,0
LRP,0.9905690537084398,0.9770749057759284,0.99056905370844,5,1,1,1,1,1,1,1,1,1,1,1,1,0
LRP,0.9779411764705882,0.9400210277730292,0.9779411764705882,1,1,1,1,1,1,1,1,1,1,1,0,1,1
