,1,5,10,20,30,40,50,100,200,500,1000
0,5,0,0,2,5,5,5,5,5,5,5
1,2,5,5,5,0,0,0,0,0,0,0
2,0,2,2,0,2,2,2,2,2,2,2
3,8,8,8,8,8,8,8,8,8,8,8
4,7,7,7,7,7,7,7,7,7,7,7
5,1,1,1,1,1,1,1,1,1,1,1
6,6,4,6,6,4,4,4,6,6,6,6
7,4,6,4,4,6,6,6,4,4,4,4
8,9,9,9,9,9,9,9,9,9,9,9
9,11,11,11,11,11,11,11,11,11,11,11
10,3,3,3,3,3,3,3,3,3,3,3
11,10,10,10,10,10,10,10,10,10,10,10
