fold,f1_micro,f1_macro,accuracy
0,,,
1,0.9954992498749792,0.9883165442277908,0.9954992498749792
2,0.99449908318053,0.9842314990614188,0.99449908318053
3,0.9954992498749793,0.9874692523214259,0.9954992498749792
4,0.9954992498749792,0.987977726272814,0.9954992498749792
5,0.9979993331110372,0.9949624808887796,0.9979993331110372
