fold,f1_micro,f1_macro,accuracy
0,,,
1,0.9428664707802809,0.9415245858557408,0.9428664707802809
2,0.9477465708687132,0.9461327084586776,0.9477465708687132
3,0.9333768778576094,0.9318658084265244,0.9333768778576094
4,0.9382756368386675,0.9365497769443732,0.9382756368386675
5,0.9402351404310908,0.9389456253168645,0.9402351404310908
