fold,channel,PXPermute,DeepLift,IntegratedGradients,LRP,GuidedGradCAM
1,Ch0,0.004543097064729221,0.0005813272063491335,0.001412835326504974,-3233.688042342978,9.846940653154762e-08
1,Ch1,0.4459883040508018,-5.460622459725434e-05,-0.0008881690076356222,1484.481647677441,1.3953179200017125e-06
3,Ch0,-0.003320181368090433,8.983472956286908e-05,0.00016814626515566767,-4473.0397982373715,5.5201341427969775e-05
3,Ch1,0.4231097062553849,-0.00015138958138009861,-0.0006937345038872047,-749.7968111861501,0.0042521327968692
4,Ch0,0.00395581521421558,0.00062974994062125,0.0008277380292684768,1146.0267249665205,0.0003682060695991996
4,Ch1,0.4581524896192467,-0.00015077483414977538,-0.0005214424344601818,1.377056930907412,0.0041936279242492285
2,Ch0,0.006798327355724996,0.0007192088542585996,0.0006366614586089486,-1298.2504735188413,2.2117637092150853e-05
2,Ch1,0.4389425921410861,-0.0001426568889895344,-0.0006074363617534215,1072.4718367266637,-0.00039666450116530687
5,Ch0,-0.00027063171791543995,0.0015454345061201443,0.001500908150702215,9411.13048292833,6.0034247841442425e-05
5,Ch1,0.46103281926299433,-0.0005330544016190722,-0.0010391581261156289,-1611.0503667916873,-0.0007363374168396814
